country,year,sex,age,suicides_no,population,suicides/100k pop,generation,gdp_for_year ($) ,gdp_per_capita ($)
Albania,2002,female,55-74 years,4,191712,2.09,Silent,"4,43,50,78,648",1573
Albania,2002,female,5-14 years,1,304850,0.33,Millenials,"4,43,50,78,648",1573
Albania,2002,male,5-14 years,1,319473,0.31,Millenials,"4,43,50,78,648",1573
Albania,2003,female,75+ years,6,49088,12.22,Silent,"5,74,69,45,913",2021
Albania,2003,male,55-74 years,16,201520,7.94,Silent,"5,74,69,45,913",2021
Albania,2003,male,35-54 years,28,386196,7.25,Boomers,"5,74,69,45,913",2021
Albania,2003,male,15-24 years,15,273235,5.49,Millenials,"5,74,69,45,913",2021
Albania,2003,female,15-24 years,14,283709,4.93,Millenials,"5,74,69,45,913",2021
Albania,2003,female,55-74 years,9,195699,4.6,Silent,"5,74,69,45,913",2021
Albania,2003,male,25-34 years,9,205433,4.38,Generation X,"5,74,69,45,913",2021
Albania,2003,female,25-34 years,9,222941,4.04,Generation X,"5,74,69,45,913",2021
Albania,2003,female,35-54 years,13,381760,3.41,Boomers,"5,74,69,45,913",2021
Albania,2003,male,75+ years,1,32667,3.06,Silent,"5,74,69,45,913",2021
Albania,2003,male,5-14 years,4,313204,1.28,Millenials,"5,74,69,45,913",2021
Albania,2003,female,5-14 years,0,298477,0,Millenials,"5,74,69,45,913",2021
Albania,2004,male,75+ years,4,35526,11.26,Silent,"7,31,48,65,176",2544
Albania,2004,male,35-54 years,39,391767,9.95,Boomers,"7,31,48,65,176",2544
Albania,2004,male,25-34 years,16,203938,7.85,Generation X,"7,31,48,65,176",2544
Albania,2004,female,15-24 years,20,292268,6.84,Millenials,"7,31,48,65,176",2544
Albania,2004,male,15-24 years,19,286768,6.63,Millenials,"7,31,48,65,176",2544
Albania,2004,female,75+ years,3,50970,5.89,Silent,"7,31,48,65,176",2544
Albania,2004,female,25-34 years,11,222389,4.95,Generation X,"7,31,48,65,176",2544
Albania,2004,male,55-74 years,10,207202,4.83,Silent,"7,31,48,65,176",2544
Albania,2004,female,35-54 years,17,391436,4.34,Boomers,"7,31,48,65,176",2544
Albania,2004,female,55-74 years,3,203841,1.47,Silent,"7,31,48,65,176",2544
Albania,2004,female,5-14 years,3,286705,1.05,Millenials,"7,31,48,65,176",2544
Albania,2004,male,5-14 years,1,302181,0.33,Millenials,"7,31,48,65,176",2544
Albania,2005,female,15-24 years,0,281922,0,Millenials,"8,15,85,48,717",2931
Albania,2005,female,25-34 years,0,190745,0,Generation X,"8,15,85,48,717",2931
Albania,2005,female,35-54 years,0,386513,0,Boomers,"8,15,85,48,717",2931
Albania,2005,female,5-14 years,0,276559,0,Millenials,"8,15,85,48,717",2931
Albania,2005,female,55-74 years,0,210998,0,Silent,"8,15,85,48,717",2931
Albania,2005,female,75+ years,0,53191,0,Silent,"8,15,85,48,717",2931
Albania,2005,male,15-24 years,0,281675,0,Millenials,"8,15,85,48,717",2931
Albania,2005,male,25-34 years,0,177519,0,Generation X,"8,15,85,48,717",2931
Albania,2005,male,35-54 years,0,380242,0,Boomers,"8,15,85,48,717",2931
Albania,2005,male,5-14 years,0,291367,0,Millenials,"8,15,85,48,717",2931
Albania,2005,male,55-74 years,0,214118,0,Silent,"8,15,85,48,717",2931
Albania,2005,male,75+ years,0,38471,0,Silent,"8,15,85,48,717",2931
Albania,2006,female,15-24 years,0,283138,0,Millenials,"8,99,26,42,349",3235
Albania,2006,female,25-34 years,0,186391,0,Generation X,"8,99,26,42,349",3235
Albania,2006,female,35-54 years,0,388746,0,Boomers,"8,99,26,42,349",3235
Albania,2006,female,5-14 years,0,267316,0,Millenials,"8,99,26,42,349",3235
Albania,2006,female,55-74 years,0,215907,0,Silent,"8,99,26,42,349",3235
Albania,2006,female,75+ years,0,56011,0,Silent,"8,99,26,42,349",3235
Albania,2006,male,15-24 years,0,286679,0,Millenials,"8,99,26,42,349",3235
Albania,2006,male,25-34 years,0,174092,0,Generation X,"8,99,26,42,349",3235
Albania,2006,male,35-54 years,0,379076,0,Boomers,"8,99,26,42,349",3235
Albania,2006,male,5-14 years,0,282678,0,Millenials,"8,99,26,42,349",3235
Albania,2006,male,55-74 years,0,219360,0,Silent,"8,99,26,42,349",3235
Albania,2006,male,75+ years,0,40782,0,Silent,"8,99,26,42,349",3235
Albania,2007,male,75+ years,8,42366,18.88,Silent,"10,70,10,11,897",3863
Albania,2007,male,35-54 years,29,378626,7.66,Boomers,"10,70,10,11,897",3863
Albania,2007,male,55-74 years,14,224160,6.25,Silent,"10,70,10,11,897",3863
Albania,2007,female,75+ years,3,57404,5.23,Silent,"10,70,10,11,897",3863
Albania,2007,male,25-34 years,9,172494,5.22,Generation X,"10,70,10,11,897",3863
Albania,2007,female,15-24 years,13,281080,4.63,Millenials,"10,70,10,11,897",3863
Albania,2007,male,15-24 years,13,288349,4.51,Millenials,"10,70,10,11,897",3863
Albania,2007,female,25-34 years,8,183629,4.36,Generation X,"10,70,10,11,897",3863
Albania,2007,female,55-74 years,9,221120,4.07,Silent,"10,70,10,11,897",3863
Albania,2007,female,35-54 years,14,391811,3.57,Boomers,"10,70,10,11,897",3863
Albania,2007,male,5-14 years,4,272497,1.47,Generation Z,"10,70,10,11,897",3863
Albania,2007,female,5-14 years,0,256808,0,Generation Z,"10,70,10,11,897",3863
Albania,2008,male,25-34 years,21,172855,12.15,Generation X,"12,88,13,52,688",4672
Albania,2008,male,35-54 years,37,377119,9.81,Boomers,"12,88,13,52,688",4672
Albania,2008,male,55-74 years,21,228672,9.18,Silent,"12,88,13,52,688",4672
Albania,2008,female,75+ years,5,59369,8.42,Silent,"12,88,13,52,688",4672
Albania,2008,female,15-24 years,20,276073,7.24,Millenials,"12,88,13,52,688",4672
Albania,2008,female,25-34 years,9,182663,4.93,Generation X,"12,88,13,52,688",4672
Albania,2008,female,35-54 years,19,393832,4.82,Boomers,"12,88,13,52,688",4672
Albania,2008,male,75+ years,2,44574,4.49,Silent,"12,88,13,52,688",4672
Albania,2008,male,15-24 years,11,286702,3.84,Millenials,"12,88,13,52,688",4672
Albania,2008,female,55-74 years,7,226448,3.09,Silent,"12,88,13,52,688",4672
Albania,2008,male,5-14 years,7,262464,2.67,Generation Z,"12,88,13,52,688",4672
Albania,2008,female,5-14 years,1,246288,0.41,Generation Z,"12,88,13,52,688",4672
Albania,2009,female,15-24 years,0,270003,0,Millenials,"12,04,42,12,904",4387
Albania,2009,female,25-34 years,0,182712,0,Generation X,"12,04,42,12,904",4387
Albania,2009,female,35-54 years,0,394286,0,Boomers,"12,04,42,12,904",4387
Albania,2009,female,5-14 years,0,236174,0,Generation Z,"12,04,42,12,904",4387
Albania,2009,female,55-74 years,0,233302,0,Silent,"12,04,42,12,904",4387
Albania,2009,female,75+ years,0,61582,0,Silent,"12,04,42,12,904",4387
Albania,2009,male,15-24 years,0,283448,0,Millenials,"12,04,42,12,904",4387
Albania,2009,male,25-34 years,0,174955,0,Generation X,"12,04,42,12,904",4387
Albania,2009,male,35-54 years,0,374365,0,Boomers,"12,04,42,12,904",4387
Albania,2009,male,5-14 years,0,253007,0,Generation Z,"12,04,42,12,904",4387
Albania,2009,male,55-74 years,0,234570,0,Silent,"12,04,42,12,904",4387
Albania,2009,male,75+ years,0,47331,0,Silent,"12,04,42,12,904",4387
Albania,2010,male,55-74 years,20,241852,8.27,Silent,"11,92,69,53,259",4359
Albania,2010,male,35-54 years,20,371611,5.38,Generation X,"11,92,69,53,259",4359
Albania,2010,male,25-34 years,9,179720,5.01,Generation X,"11,92,69,53,259",4359
Albania,2010,male,75+ years,2,50767,3.94,Silent,"11,92,69,53,259",4359
Albania,2010,male,15-24 years,10,279508,3.58,Millenials,"11,92,69,53,259",4359
Albania,2010,female,25-34 years,6,183579,3.27,Generation X,"11,92,69,53,259",4359
Albania,2010,female,75+ years,2,64415,3.1,Silent,"11,92,69,53,259",4359
Albania,2010,female,35-54 years,12,394593,3.04,Generation X,"11,92,69,53,259",4359
Albania,2010,female,55-74 years,7,241491,2.9,Silent,"11,92,69,53,259",4359
Albania,2010,female,15-24 years,6,263581,2.28,Millenials,"11,92,69,53,259",4359
Albania,2010,female,5-14 years,2,223969,0.89,Generation Z,"11,92,69,53,259",4359
Albania,2010,male,5-14 years,0,240939,0,Generation Z,"11,92,69,53,259",4359
Australia,2000,male,25-34 years,466,1430700,32.57,Generation X,"4,15,03,42,27,218",23219
Australia,2000,male,75+ years,115,416077,27.64,G.I. Generation,"4,15,03,42,27,218",23219
Australia,2000,male,35-54 years,745,2769752,26.9,Boomers,"4,15,03,42,27,218",23219
Australia,2000,male,15-24 years,271,1333011,20.33,Generation X,"4,15,03,42,27,218",23219
Australia,2000,male,55-74 years,281,1522620,18.46,Silent,"4,15,03,42,27,218",23219
Australia,2000,female,25-34 years,106,1445332,7.33,Generation X,"4,15,03,42,27,218",23219
Australia,2000,female,35-54 years,200,2782583,7.19,Boomers,"4,15,03,42,27,218",23219
Australia,2000,female,15-24 years,78,1285283,6.07,Generation X,"4,15,03,42,27,218",23219
Australia,2000,female,55-74 years,87,1549060,5.62,Silent,"4,15,03,42,27,218",23219
Australia,2000,female,75+ years,33,652895,5.05,G.I. Generation,"4,15,03,42,27,218",23219
Australia,2000,male,5-14 years,8,1377301,0.58,Millenials,"4,15,03,42,27,218",23219
Australia,2000,female,5-14 years,1,1309796,0.08,Millenials,"4,15,03,42,27,218",23219
Australia,2001,male,25-34 years,489,1427829,34.25,Generation X,"3,78,21,50,90,694",20860
Australia,2001,male,35-54 years,752,2803465,26.82,Boomers,"3,78,21,50,90,694",20860
Australia,2001,male,75+ years,115,437528,26.28,Silent,"3,78,21,50,90,694",20860
Australia,2001,male,15-24 years,280,1351444,20.72,Millenials,"3,78,21,50,90,694",20860
Australia,2001,male,55-74 years,296,1566014,18.9,Silent,"3,78,21,50,90,694",20860
Australia,2001,female,35-54 years,226,2827367,7.99,Boomers,"3,78,21,50,90,694",20860
Australia,2001,female,25-34 years,109,1445867,7.54,Generation X,"3,78,21,50,90,694",20860
Australia,2001,female,75+ years,39,677113,5.76,Silent,"3,78,21,50,90,694",20860
Australia,2001,female,55-74 years,81,1585702,5.11,Silent,"3,78,21,50,90,694",20860
Australia,2001,female,15-24 years,63,1303713,4.83,Millenials,"3,78,21,50,90,694",20860
Australia,2001,female,5-14 years,4,1317968,0.3,Millenials,"3,78,21,50,90,694",20860
Australia,2001,male,5-14 years,4,1386873,0.29,Millenials,"3,78,21,50,90,694",20860
Australia,2002,male,25-34 years,452,1433165,31.54,Generation X,"3,94,48,67,09,920",21474
Australia,2002,male,35-54 years,744,2820596,26.38,Boomers,"3,94,48,67,09,920",21474
Australia,2002,male,75+ years,101,456942,22.1,Silent,"3,94,48,67,09,920",21474
Australia,2002,male,15-24 years,246,1372770,17.92,Millenials,"3,94,48,67,09,920",21474
Australia,2002,male,55-74 years,266,1626692,16.35,Silent,"3,94,48,67,09,920",21474
Australia,2002,female,35-54 years,213,2845525,7.49,Boomers,"3,94,48,67,09,920",21474
Australia,2002,female,25-34 years,103,1444148,7.13,Generation X,"3,94,48,67,09,920",21474
Australia,2002,female,55-74 years,92,1643643,5.6,Silent,"3,94,48,67,09,920",21474
Australia,2002,female,75+ years,36,696793,5.17,Silent,"3,94,48,67,09,920",21474
Australia,2002,female,15-24 years,58,1316527,4.41,Millenials,"3,94,48,67,09,920",21474
Australia,2002,female,5-14 years,4,1321845,0.3,Millenials,"3,94,48,67,09,920",21474
Australia,2002,male,5-14 years,4,1391412,0.29,Millenials,"3,94,48,67,09,920",21474
Australia,2003,male,25-34 years,394,1437607,27.41,Generation X,"4,66,29,47,00,058",25059
Australia,2003,male,35-54 years,654,2840522,23.02,Boomers,"4,66,29,47,00,058",25059
Australia,2003,male,75+ years,103,476387,21.62,Silent,"4,66,29,47,00,058",25059
Australia,2003,male,15-24 years,243,1394989,17.42,Millenials,"4,66,29,47,00,058",25059
Australia,2003,male,55-74 years,284,1681943,16.89,Silent,"4,66,29,47,00,058",25059
Australia,2003,female,25-34 years,106,1444160,7.34,Generation X,"4,66,29,47,00,058",25059
Australia,2003,female,35-54 years,195,2868971,6.8,Boomers,"4,66,29,47,00,058",25059
Australia,2003,female,55-74 years,91,1697104,5.36,Silent,"4,66,29,47,00,058",25059
Australia,2003,female,15-24 years,48,1333189,3.6,Millenials,"4,66,29,47,00,058",25059
Australia,2003,female,75+ years,24,716236,3.35,Silent,"4,66,29,47,00,058",25059
Australia,2003,female,5-14 years,7,1323202,0.53,Millenials,"4,66,29,47,00,058",25059
Australia,2003,male,5-14 years,7,1393719,0.5,Millenials,"4,66,29,47,00,058",25059
Australia,2004,male,25-34 years,386,1441319,26.78,Generation X,"6,11,90,42,53,806",32454
Australia,2004,male,75+ years,126,489016,25.77,Silent,"6,11,90,42,53,806",32454
Australia,2004,male,35-54 years,655,2868425,22.83,Boomers,"6,11,90,42,53,806",32454
Australia,2004,male,55-74 years,293,1721736,17.02,Silent,"6,11,90,42,53,806",32454
Australia,2004,male,15-24 years,205,1420482,14.43,Millenials,"6,11,90,42,53,806",32454
Australia,2004,female,35-54 years,183,2902618,6.3,Boomers,"6,11,90,42,53,806",32454
Australia,2004,female,25-34 years,82,1446557,5.67,Generation X,"6,11,90,42,53,806",32454
Australia,2004,female,75+ years,40,726532,5.51,Silent,"6,11,90,42,53,806",32454
Australia,2004,female,15-24 years,67,1364452,4.91,Millenials,"6,11,90,42,53,806",32454
Australia,2004,female,55-74 years,69,1741477,3.96,Silent,"6,11,90,42,53,806",32454
Australia,2004,male,5-14 years,7,1402222,0.5,Millenials,"6,11,90,42,53,806",32454
Australia,2004,female,5-14 years,1,1329715,0.08,Millenials,"6,11,90,42,53,806",32454
Australia,2006,male,35-54 years,686,2894571,23.7,Boomers,"7,45,52,18,62,833",39014
Australia,2006,male,75+ years,114,506926,22.49,Silent,"7,45,52,18,62,833",39014
Australia,2006,male,25-34 years,277,1442942,19.2,Generation X,"7,45,52,18,62,833",39014
Australia,2006,male,55-74 years,309,1772439,17.43,Silent,"7,45,52,18,62,833",39014
Australia,2006,male,15-24 years,230,1446866,15.9,Millenials,"7,45,52,18,62,833",39014
Australia,2006,female,35-54 years,195,2934459,6.65,Boomers,"7,45,52,18,62,833",39014
Australia,2006,female,55-74 years,115,1798232,6.4,Silent,"7,45,52,18,62,833",39014
Australia,2006,female,75+ years,41,743060,5.52,Silent,"7,45,52,18,62,833",39014
Australia,2006,female,25-34 years,74,1444570,5.12,Generation X,"7,45,52,18,62,833",39014
Australia,2006,female,15-24 years,68,1388615,4.9,Millenials,"7,45,52,18,62,833",39014
Australia,2006,male,5-14 years,7,1404186,0.5,Millenials,"7,45,52,18,62,833",39014
Australia,2006,female,5-14 years,1,1332380,0.08,Millenials,"7,45,52,18,62,833",39014
Australia,2007,male,25-34 years,341,1470431,23.19,Generation X,"8,51,96,27,85,585",43171
Australia,2007,male,35-54 years,687,2977977,23.07,Boomers,"8,51,96,27,85,585",43171
Australia,2007,male,75+ years,124,539184,23,Silent,"8,51,96,27,85,585",43171
Australia,2007,male,55-74 years,305,1877160,16.25,Silent,"8,51,96,27,85,585",43171
Australia,2007,male,15-24 years,234,1515524,15.44,Millenials,"8,51,96,27,85,585",43171
Australia,2007,female,35-54 years,219,3025248,7.24,Boomers,"8,51,96,27,85,585",43171
Australia,2007,female,55-74 years,118,1911478,6.17,Silent,"8,51,96,27,85,585",43171
Australia,2007,female,25-34 years,90,1460752,6.16,Generation X,"8,51,96,27,85,585",43171
Australia,2007,female,15-24 years,66,1440419,4.58,Millenials,"8,51,96,27,85,585",43171
Australia,2007,female,75+ years,33,770691,4.28,Silent,"8,51,96,27,85,585",43171
Australia,2007,male,5-14 years,8,1408182,0.57,Generation Z,"8,51,96,27,85,585",43171
Australia,2007,female,5-14 years,4,1337384,0.3,Generation Z,"8,51,96,27,85,585",43171
Australia,2008,male,35-54 years,765,3015761,25.37,Boomers,"10,52,58,46,01,611",52315
Australia,2008,male,25-34 years,354,1512033,23.41,Generation X,"10,52,58,46,01,611",52315
Australia,2008,male,75+ years,121,552931,21.88,Silent,"10,52,58,46,01,611",52315
Australia,2008,male,55-74 years,357,1935161,18.45,Silent,"10,52,58,46,01,611",52315
Australia,2008,male,15-24 years,228,1560974,14.61,Millenials,"10,52,58,46,01,611",52315
Australia,2008,female,35-54 years,231,3066609,7.53,Boomers,"10,52,58,46,01,611",52315
Australia,2008,female,25-34 years,90,1494968,6.02,Generation X,"10,52,58,46,01,611",52315
Australia,2008,female,55-74 years,97,1974752,4.91,Silent,"10,52,58,46,01,611",52315
Australia,2008,female,15-24 years,60,1473105,4.07,Millenials,"10,52,58,46,01,611",52315
Australia,2008,female,75+ years,27,781742,3.45,Silent,"10,52,58,46,01,611",52315
Australia,2008,male,5-14 years,8,1411650,0.57,Generation Z,"10,52,58,46,01,611",52315
Australia,2008,female,5-14 years,3,1340626,0.22,Generation Z,"10,52,58,46,01,611",52315
Australia,2009,male,35-54 years,755,3051649,24.74,Boomers,"9,26,44,82,40,318",45128
Australia,2009,male,75+ years,135,566784,23.82,Silent,"9,26,44,82,40,318",45128
Australia,2009,male,25-34 years,336,1567118,21.44,Generation X,"9,26,44,82,40,318",45128
Australia,2009,male,55-74 years,349,1991883,17.52,Silent,"9,26,44,82,40,318",45128
Australia,2009,male,15-24 years,210,1605456,13.08,Millenials,"9,26,44,82,40,318",45128
Australia,2009,female,35-54 years,221,3104929,7.12,Boomers,"9,26,44,82,40,318",45128
Australia,2009,female,25-34 years,103,1541393,6.68,Generation X,"9,26,44,82,40,318",45128
Australia,2009,female,55-74 years,116,2037989,5.69,Silent,"9,26,44,82,40,318",45128
Australia,2009,female,75+ years,43,792218,5.43,Silent,"9,26,44,82,40,318",45128
Australia,2009,female,15-24 years,66,1506719,4.38,Millenials,"9,26,44,82,40,318",45128
Australia,2009,female,5-14 years,3,1345910,0.22,Generation Z,"9,26,44,82,40,318",45128
Australia,2009,male,5-14 years,0,1417269,0,Generation Z,"9,26,44,82,40,318",45128
Australia,2010,male,35-54 years,816,3076853,26.52,Generation X,"11,44,26,05,47,873",54887
Australia,2010,male,75+ years,151,582009,25.94,Silent,"11,44,26,05,47,873",54887
Australia,2010,male,25-34 years,311,1606526,19.36,Generation X,"11,44,26,05,47,873",54887
Australia,2010,male,55-74 years,360,2051197,17.55,Silent,"11,44,26,05,47,873",54887
Australia,2010,male,15-24 years,222,1618860,13.71,Millenials,"11,44,26,05,47,873",54887
Australia,2010,female,35-54 years,228,3132534,7.28,Generation X,"11,44,26,05,47,873",54887
Australia,2010,female,25-34 years,94,1579905,5.95,Generation X,"11,44,26,05,47,873",54887
Australia,2010,female,75+ years,43,805401,5.34,Silent,"11,44,26,05,47,873",54887
Australia,2010,female,15-24 years,80,1521652,5.26,Millenials,"11,44,26,05,47,873",54887
Australia,2010,female,55-74 years,104,2103428,4.94,Silent,"11,44,26,05,47,873",54887
Australia,2010,male,5-14 years,7,1420846,0.49,Generation Z,"11,44,26,05,47,873",54887
Australia,2010,female,5-14 years,4,1348336,0.3,Generation Z,"11,44,26,05,47,873",54887
Australia,2011,male,75+ years,146,588053,24.83,Silent,"13,94,28,07,84,778",66770
Australia,2011,male,35-54 years,704,3072726,22.91,Generation X,"13,94,28,07,84,778",66770
Australia,2011,male,25-34 years,347,1610295,21.55,Millenials,"13,94,28,07,84,778",66770
Australia,2011,male,55-74 years,366,2104816,17.39,Boomers,"13,94,28,07,84,778",66770
Australia,2011,male,15-24 years,242,1570069,15.41,Millenials,"13,94,28,07,84,778",66770
Australia,2011,female,35-54 years,230,3124328,7.36,Generation X,"13,94,28,07,84,778",66770
Australia,2011,female,15-24 years,93,1495053,6.22,Millenials,"13,94,28,07,84,778",66770
Australia,2011,female,55-74 years,118,2139108,5.52,Boomers,"13,94,28,07,84,778",66770
Australia,2011,female,75+ years,45,817927,5.5,Silent,"13,94,28,07,84,778",66770
Australia,2011,female,25-34 years,85,1584036,5.37,Millenials,"13,94,28,07,84,778",66770
Australia,2011,female,5-14 years,9,1351751,0.67,Generation Z,"13,94,28,07,84,778",66770
Australia,2011,male,5-14 years,7,1423748,0.49,Generation Z,"13,94,28,07,84,778",66770
Australia,2012,male,75+ years,158,606842,26.04,Silent,"15,43,41,10,12,580",72669
Australia,2012,male,35-54 years,802,3098534,25.88,Generation X,"15,43,41,10,12,580",72669
Australia,2012,male,25-34 years,351,1657638,21.17,Millenials,"15,43,41,10,12,580",72669
Australia,2012,male,55-74 years,396,2162980,18.31,Boomers,"15,43,41,10,12,580",72669
Australia,2012,male,15-24 years,217,1579672,13.74,Millenials,"15,43,41,10,12,580",72669
Australia,2012,female,35-54 years,258,3149749,8.19,Generation X,"15,43,41,10,12,580",72669
Australia,2012,female,15-24 years,109,1503934,7.25,Millenials,"15,43,41,10,12,580",72669
Australia,2012,female,75+ years,52,832122,6.25,Silent,"15,43,41,10,12,580",72669
Australia,2012,female,25-34 years,98,1630077,6.01,Millenials,"15,43,41,10,12,580",72669
Australia,2012,female,55-74 years,123,2206179,5.58,Boomers,"15,43,41,10,12,580",72669
Australia,2012,female,5-14 years,10,1368580,0.73,Generation Z,"15,43,41,10,12,580",72669
Australia,2012,male,5-14 years,6,1442602,0.42,Generation Z,"15,43,41,10,12,580",72669
Australia,2013,male,75+ years,160,627275,25.51,Silent,"15,73,69,65,22,007",72856
Australia,2013,male,35-54 years,754,3118829,24.18,Generation X,"15,73,69,65,22,007",72856
Australia,2013,male,25-34 years,329,1702401,19.33,Millenials,"15,73,69,65,22,007",72856
Australia,2013,male,55-74 years,418,2221866,18.81,Boomers,"15,73,69,65,22,007",72856
Australia,2013,male,15-24 years,267,1591539,16.78,Millenials,"15,73,69,65,22,007",72856
Australia,2013,female,35-54 years,275,3171477,8.67,Generation X,"15,73,69,65,22,007",72856
Australia,2013,female,55-74 years,145,2276104,6.37,Boomers,"15,73,69,65,22,007",72856
Australia,2013,female,15-24 years,95,1512779,6.28,Millenials,"15,73,69,65,22,007",72856
Australia,2013,female,25-34 years,95,1676648,5.67,Millenials,"15,73,69,65,22,007",72856
Australia,2013,female,75+ years,48,847577,5.66,Silent,"15,73,69,65,22,007",72856
Australia,2013,male,5-14 years,16,1464302,1.09,Generation Z,"15,73,69,65,22,007",72856
Australia,2013,female,5-14 years,6,1389383,0.43,Generation Z,"15,73,69,65,22,007",72856
Australia,2014,male,35-54 years,866,3130341,27.66,Generation X,"14,64,95,54,75,994",66809
Australia,2014,male,75+ years,164,649925,25.23,Silent,"14,64,95,54,75,994",66809
Australia,2014,male,25-34 years,404,1730968,23.34,Millenials,"14,64,95,54,75,994",66809
Australia,2014,male,55-74 years,471,2279114,20.67,Boomers,"14,64,95,54,75,994",66809
Australia,2014,male,15-24 years,271,1604935,16.89,Millenials,"14,64,95,54,75,994",66809
Australia,2014,female,35-54 years,277,3189475,8.68,Generation X,"14,64,95,54,75,994",66809
Australia,2014,female,25-34 years,119,1716803,6.93,Millenials,"14,64,95,54,75,994",66809
Australia,2014,female,55-74 years,157,2344644,6.7,Boomers,"14,64,95,54,75,994",66809
Australia,2014,female,15-24 years,96,1520955,6.31,Millenials,"14,64,95,54,75,994",66809
Australia,2014,female,75+ years,45,865915,5.2,Silent,"14,64,95,54,75,994",66809
Australia,2014,female,5-14 years,15,1408758,1.06,Generation Z,"14,64,95,54,75,994",66809
Australia,2014,male,5-14 years,6,1485754,0.4,Generation Z,"14,64,95,54,75,994",66809
Australia,2015,male,35-54 years,944,3149299,29.97,Generation X,"13,49,03,40,29,453",60656
Australia,2015,male,75+ years,181,673787,26.86,Silent,"13,49,03,40,29,453",60656
Australia,2015,male,25-34 years,423,1762265,24,Millenials,"13,49,03,40,29,453",60656
Australia,2015,male,55-74 years,457,2337430,19.55,Boomers,"13,49,03,40,29,453",60656
Australia,2015,male,15-24 years,281,1608990,17.46,Millenials,"13,49,03,40,29,453",60656
Australia,2015,female,35-54 years,294,3203643,9.18,Generation X,"13,49,03,40,29,453",60656
Australia,2015,female,15-24 years,110,1526305,7.21,Millenials,"13,49,03,40,29,453",60656
Australia,2015,female,25-34 years,119,1747715,6.81,Millenials,"13,49,03,40,29,453",60656
Australia,2015,female,55-74 years,152,2411343,6.3,Boomers,"13,49,03,40,29,453",60656
Australia,2015,female,75+ years,52,884347,5.88,Silent,"13,49,03,40,29,453",60656
Australia,2015,female,5-14 years,8,1428159,0.56,Generation Z,"13,49,03,40,29,453",60656
Australia,2015,male,5-14 years,6,1507502,0.4,Generation Z,"13,49,03,40,29,453",60656
Belarus,2000,male,55-74 years,721,750602,96.06,Silent,"12,73,68,56,828",1335
Belarus,2000,male,35-54 years,1334,1403903,95.02,Boomers,"12,73,68,56,828",1335
Belarus,2000,male,75+ years,89,110565,80.5,G.I. Generation,"12,73,68,56,828",1335
